S.no,States/Uts,Sanction order no,Date of sanction [DD/MM/YYYY],Date of IFD[DD/MM/YYYY],Total Amount released(actual in Rs),Finanacial Year of sanction order,Total Amount released(in lakh),Released for academic year,Amount released for academic year(in lakh),Amount given in reference data (in lakh),Remark if any
1,Andhra Pradesh,20014/4/2018-Sch,03/08/2017,,233255000,2016-17,2332.55,2016-17,2332.55,,
2,Andhra Pradesh,20014/4/2018-Sch,12/06/2016,,744507000,2016-17,7445.07,2015-16,7445.07,,
3,Arunachal Pradesh,F.No.20014/04/2012-Education,07/11/2016,,113632200,2016-17,1136.322,2012-13,1136.322,,
4,Assam,20014/6/2018-Sch,03/27/2017,,26665300,2016-17,266.653,2016-17,266.65,266.653,"Data not available on MoTA portal, only available in reference data."
5,Chhattisgarh,20014/8/2018-Sch,12/28/2016,,137482000,2016-17,1374.82,2016-17,1374.82,,
6,Chhattisgarh,20014/8/2018-Sch,07/14/2016,,130000000,2016-17,1300,2012-13,1300,,
7,Daman & Diu,F.No.20014/02/2013-Education,12/06/2016,,5363000,2016-17,53.63,2012-13,53.63,,
8,Goa,F.No.20014/01/2016-Education,12/28/2016,,7100000,2016-17,71,2016-17,71,,
9,Goa,F.No.20014/02/2012-Education,09/28/2016,,57400000,2016-17,574,2012-13,574,,
10,Gujarat,F.No.20014/09/2012-Education,12/06/2016,,746200000,2016-17,7462,2016-17,7462,,Upload 2 times on MoTA portal
11,Gujarat,F.No.20014/09/2012-Education,09/27/2016,,876400000,2016-17,8764,2012-13,8764,,
12,Gujarat,F.No.20014/09/2012-Education,07/18/2016,,581427000,2016-17,5814.27,2012-13,5814.27,,
13,Himachal Pradesh,F.No.20014/10/2012-Education,12/28/2016,,63200000,2016-17,632,2016-17,632,,
14,Himachal Pradesh,No. 20014/10/12-Education,10/14/2016,,4936000,2016-17,49.36,2012-13,49.36,,
15,Himachal Pradesh,F.No.20014/10/2012-Education,07/15/2016,,25000000,2016-17,250,2012-13,250,,
16,Jammu & Kashmir,F.No.20014/11/2012-Education,12/28/2016,,115900000,2016-17,1159,2016-17,1159,,
17,Jammu & Kashmir,F.No.20014/11/2012-Education,09/30/2016,,142884000,2016-17,1428.84,2012-13,1428.84,,
18,Jharkhand,No. 20014/12/2012-Education,12/29/2016,,154839000,2016-17,1548.39,2016-17,1548.39,,
19,Jharkhand,F.No.20014/12/2012-Education,09/28/2016,,660000000,2016-17,6600,2012-13,6600,,
20,Karnataka,F.No.20014/13/2012-Education,12/28/2016,,414000000,2016-17,4140,2016-17,4140,,
21,Karnataka,F.No.20014/13/2012-Education,07/19/2016,,440000000,2016-17,4400,2012-13,4400,,
22,Kerala,F.No.20014/03/2012-Education,09/28/2016,,312200000,2016-17,3122,2012-13,3122,,
23,Madhya Pradesh,No.20014/15/2012-Education,12/27/2016,,493600000,2016-17,4936,2016-17,4936,,Upload 2 times on MoTA portal
24,Madhya Pradesh,F.No.20014/15/2012-Education,09/27/2016,,505300000,2016-17,5053,2012-13,5053,,"Upload 2 times on MoTA portal, amount shows 0rs  on portal"
25,Madhya Pradesh,No.20014/15/2012-Education,08/30/2016,,306500000,2016-17,3065,2012-13,3065,,
26,Maharashtra,F.no.20014/16/2012-Education,12/28/2016,,759300000,2016-17,7593,2016-17,7593,,"Upload 2 times on MoTA portal, amount shows 75.53lakh rs  on portal"
27,Maharashtra,F.No.20014/16/2012-Education,09/27/2016,,906100000,2016-17,9061,2012-13,9061,,amount shows 90.61 lakh rs  on portal
28,Maharashtra,F.No.20014/16/2012-Education,07/18/2016,,543828000,2016-17,5438.28,2012-13,5438.28,,
29,Manipur,F.No.20014/17/2012-Education,12/28/2016,,242339000,2016-17,2423.39,2016-17,2423.39,,
30,Manipur,F.No.20015/19/2012-Education,12/28/2016,,25504000,2016-17,255.04,2016-17,255.04,3385.2,Data mismatch between portal and reference data
31,Manipur,F.No.20015/19/20012-Education,10/05/2016,,61234000,2016-17,612.34,2012-13,612.34,,
32,Manipur,F.No.20014/18/2012-Education,10/04/2016,,26181000,2016-17,261.81,2012-13,261.81,,
33,Manipur,F.No.20014/17/2012-Education,07/18/2016,,70000000,2016-17,700,2012-13,700,,
34,Meghalaya,No.20O1 41 1 81201 2-Education,02/23/2017,,43000000,2016-17,430,2016-17,430,,
35,Meghalaya,F.No.20014/18/2012-Education,12/28/2016,,75900000,2016-17,759,2016-17,759,,
36,Meghalaya,F.No.20014/18/2012-Education,07/15/2016,,200000000,2016-17,2000,2012-13,2000,,
37,Mizoram,No.20012/19/2012-Education,03/01/2017,,426752000,2016-17,4267.52,2016-17,4267.52,,
38,Nagaland,F.No.20014/20/2012-Education,12/28/2016,,134400000,2016-17,1344,2016-17,1344,,
